domainName,idKab,idParent,idPro,idWilayah,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah
prabumulihkota,20758,17404,17404,20758,1674,167400,1674000000,16,KOTA PRABUMULIH,SUMATERA SELATAN,KOTA PRABUMULIH,2
palikab,928069,17404,17404,928069,1612,161200,1612000000,16,PENUKAL ABAB LEMATANG ILIR,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,2
muratarakab,928070,17404,17404,928070,1613,161300,1613000000,16,MUSI RAWAS UTARA,SUMATERA SELATAN,MUSI RAWAS UTARA,2
lebongkab,22052,20802,20802,22052,1707,170700,1707000000,17,LEBONG,BENGKULU,LEBONG,2
kaurkab,21492,20802,20802,21492,1704,170400,1704000000,17,KAUR,BENGKULU,KAUR,2
bengkulutengahkab,20803,20802,20802,20803,1709,170900,1709000000,17,BENGKULU TENGAH,BENGKULU,BENGKULU TENGAH,2
bengkuluselatankab,20923,20802,20802,20923,1701,170100,1701000000,17,BENGKULU SELATAN,BENGKULU,BENGKULU SELATAN,2
rejanglebongkab,21093,20802,20802,21093,1702,170200,1702000000,17,REJANG LEBONG,BENGKULU,REJANG LEBONG,2
bengkuluutarakab,21265,20802,20802,21265,1703,170300,1703000000,17,BENGKULU UTARA,BENGKULU,BENGKULU UTARA,2
selumakab,21702,20802,20802,21702,1705,170500,1705000000,17,SELUMA,BENGKULU,SELUMA,2
mukomukokab,21885,20802,20802,21885,1706,170600,1706000000,17,MUKOMUKO,BENGKULU,MUKOMUKO,2
kepahiangkab,22135,20802,20802,22135,1708,170800,1708000000,17,KEPAHIANG,BENGKULU,KEPAHIANG,2
bengkulukota,22252,20802,20802,22252,1771,177100,1771000000,17,KOTA BENGKULU,BENGKULU,KOTA BENGKULU,2
pringsewukab,22329,22328,22328,22329,1810,181000,1810000000,18,PRINGSEWU,LAMPUNG,PRINGSEWU,2
mesujikab,22439,22328,22328,22439,1811,181100,1811000000,18,MESUJI,LAMPUNG,MESUJI,2
tulangbawangbaratkab,22522,22328,22328,22522,1812,181200,1812000000,18,TULANG BAWANG BARAT,LAMPUNG,TULANG BAWANG BARAT,2
lampungselatankab,22605,22328,22328,22605,1801,180100,1801000000,18,LAMPUNG SELATAN,LAMPUNG,LAMPUNG SELATAN,2
lampungtengahkab,22875,22328,22328,22875,1802,180200,1802000000,18,LAMPUNG TENGAH,LAMPUNG,LAMPUNG TENGAH,2
lampungutarakab,23189,22328,22328,23189,1803,180300,1803000000,18,LAMPUNG UTARA,LAMPUNG,LAMPUNG UTARA,2
lampungbaratkab,23460,22328,22328,23460,1804,180400,1804000000,18,LAMPUNG BARAT,LAMPUNG,LAMPUNG BARAT,2
tulangbawangkab,23737,22328,22328,23737,1805,180500,1805000000,18,TULANG BAWANG,LAMPUNG,TULANG BAWANG,2
tanggamuskab,23903,22328,22328,23903,1806,180600,1806000000,18,TANGGAMUS,LAMPUNG,TANGGAMUS,2
lampungtimurkab,24202,22328,22328,24202,1807,180700,1807000000,18,LAMPUNG TIMUR,LAMPUNG,LAMPUNG TIMUR,2
waykanankab,24484,22328,22328,24484,1808,180800,1808000000,18,WAY KANAN,LAMPUNG,WAY KANAN,2
bandarlampungkota,24709,22328,22328,24709,1871,187100,1871000000,18,KOTA BANDAR LAMPUNG,LAMPUNG,KOTA BANDAR LAMPUNG,2
metrokota,24822,22328,22328,24822,1872,187200,1872000000,18,KOTA METRO,LAMPUNG,KOTA METRO,2
pesawarankab,24850,22328,22328,24850,1809,180900,1809000000,18,PESAWARAN,LAMPUNG,PESAWARAN,2
pesisirbaratkab,928071,22328,22328,928071,1813,181300,1813000000,18,PESISIR BARAT,LAMPUNG,PESISIR BARAT,2
tanjungpinangkota,25406,25405,25405,25406,2172,217200,2172000000,21,KOTA TANJUNGPINANG,KEPULAUAN RIAU,KOTA TANJUNGPINANG,2
kepanambaskab,25429,25405,25405,25429,2105,210500,2105000000,21,KEPULAUAN ANAMBAS,KEPULAUAN RIAU,KEPULAUAN ANAMBAS,2
bintankab,25471,25405,25405,25471,2101,210100,2101000000,21,BINTAN,KEPULAUAN RIAU,BINTAN,2
karimunkab,25533,25405,25405,25533,2102,210200,2102000000,21,KARIMUN,KEPULAUAN RIAU,KARIMUN,2
natunakab,25597,25405,25405,25597,2103,210300,2103000000,21,NATUNA,KEPULAUAN RIAU,NATUNA,2
linggakab,25683,25405,25405,25683,2104,210400,2104000000,21,LINGGA,KEPULAUAN RIAU,LINGGA,2
batamkota,25746,25405,25405,25746,2171,217100,2171000000,21,KOTA BATAM,KEPULAUAN RIAU,KOTA BATAM,2
bogorkab,26142,26141,26141,26142,3201,320100,3201000000,32,BOGOR,JAWA BARAT,BOGOR,2
sukabumikab,26611,26141,26141,26611,3202,320200,3202000000,32,SUKABUMI,JAWA BARAT,SUKABUMI,2
cianjurkab,27026,26141,26141,27026,3203,320300,3203000000,32,CIANJUR,JAWA BARAT,CIANJUR,2
bandungkab,27407,26141,26141,27407,3204,320400,3204000000,32,BANDUNG,JAWA BARAT,BANDUNG,2
garutkab,27714,26141,26141,27714,3205,320500,3205000000,32,GARUT,JAWA BARAT,GARUT,2
tasikmalayakab,28182,26141,26141,28182,3206,320600,3206000000,32,TASIKMALAYA,JAWA BARAT,TASIKMALAYA,2
ciamiskab,28573,26141,26141,28573,3207,320700,3207000000,32,CIAMIS,JAWA BARAT,CIAMIS,2
kuningankab,28960,26141,26141,28960,3208,320800,3208000000,32,KUNINGAN,JAWA BARAT,KUNINGAN,2
cirebonkab,29369,26141,26141,29369,3209,320900,3209000000,32,CIREBON,JAWA BARAT,CIREBON,2
majalengkakab,29834,26141,26141,29834,3210,321000,3210000000,32,MAJALENGKA,JAWA BARAT,MAJALENGKA,2
sumedangkab,30197,26141,26141,30197,3211,321100,3211000000,32,SUMEDANG,JAWA BARAT,SUMEDANG,2
indramayukab,30503,26141,26141,30503,3212,321200,3212000000,32,INDRAMAYU,JAWA BARAT,INDRAMAYU,2
subangkab,30851,26141,26141,30851,3213,321300,3213000000,32,SUBANG,JAWA BARAT,SUBANG,2
purwakartakab,31135,26141,26141,31135,3214,321400,3214000000,32,PURWAKARTA,JAWA BARAT,PURWAKARTA,2
karawangkab,31345,26141,26141,31345,3215,321500,3215000000,32,KARAWANG,JAWA BARAT,KARAWANG,2
