domainName,idKab,idParent,idPro,idWilayah_1,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah,alokasiKursi,alokasiSisaKursi,createdAt,createdBy,id,idVersi,idWilayah,jumlahPenduduk,nama,noDapil,parent,peringkatPenduduk,sisaPenduduk,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt,updatedBy
pidiekab,2452,1,1,2452,1107,110700,1107000000,11,PIDIE,ACEH,PIDIE,2,8,0,"Dec 31, 2017 2:53:12 PM",hafizh,2923,781,2452,88518,PIDIE 2,2,-1,4,974,False,2,8,"Dec 31, 2017 2:53:12 PM",hafizh
pidiekab,2452,1,1,2452,1107,110700,1107000000,11,PIDIE,ACEH,PIDIE,2,8,0,"Dec 31, 2017 2:53:12 PM",hafizh,2924,781,2452,87826,PIDIE 3,3,-1,5,282,False,2,8,"Dec 31, 2017 2:53:12 PM",hafizh
pidiekab,2452,1,1,2452,1107,110700,1107000000,11,PIDIE,ACEH,PIDIE,2,8,0,"Dec 31, 2017 2:53:12 PM",hafizh,2925,781,2452,91508,PIDIE 4,4,-1,3,3964,False,2,8,"Dec 31, 2017 2:53:12 PM",hafizh
pidiekab,2452,1,1,2452,1107,110700,1107000000,11,PIDIE,ACEH,PIDIE,2,7,1,"Dec 31, 2017 2:53:12 PM",hafizh,2926,781,2452,86257,PIDIE 5,5,-1,1,9656,False,2,8,"Dec 31, 2017 2:53:12 PM",hafizh
acehutarakab,3205,1,1,3205,1108,110800,1108000000,11,ACEH UTARA,ACEH,ACEH UTARA,2,6,1,"Dec 31, 2017 3:43:33 PM",vici,5570,1349,3205,88194,ACEH UTARA 1,1,-1,1,11412,False,2,7,"Dec 31, 2017 2:22:10 PM",hafizh
acehutarakab,3205,1,1,3205,1108,110800,1108000000,11,ACEH UTARA,ACEH,ACEH UTARA,2,5,1,"Dec 31, 2017 3:43:33 PM",vici,5571,1349,3205,74311,ACEH UTARA 2,2,-1,3,10326,False,2,6,"Dec 31, 2017 2:22:10 PM",hafizh
acehutarakab,3205,1,1,3205,1108,110800,1108000000,11,ACEH UTARA,ACEH,ACEH UTARA,2,7,1,"Dec 31, 2017 3:43:33 PM",vici,5572,1349,3205,100474,ACEH UTARA 3,3,-1,2,10895,False,2,8,"Dec 31, 2017 2:22:10 PM",hafizh
acehutarakab,3205,1,1,3205,1108,110800,1108000000,11,ACEH UTARA,ACEH,ACEH UTARA,2,8,0,"Dec 31, 2017 3:43:33 PM",vici,5573,1349,3205,108378,ACEH UTARA 4,4,-1,6,6002,False,2,8,"Dec 31, 2017 2:22:10 PM",hafizh
acehutarakab,3205,1,1,3205,1108,110800,1108000000,11,ACEH UTARA,ACEH,ACEH UTARA,2,6,0,"Dec 31, 2017 3:43:33 PM",vici,5574,1349,3205,82879,ACEH UTARA 5,5,-1,5,6097,False,2,6,"Dec 31, 2017 2:22:10 PM",hafizh
acehutarakab,3205,1,1,3205,1108,110800,1108000000,11,ACEH UTARA,ACEH,ACEH UTARA,2,9,1,"Dec 31, 2017 3:43:33 PM",vici,5575,1349,3205,121659,ACEH UTARA 6,6,-1,4,6486,False,2,10,"Dec 31, 2017 2:22:10 PM",hafizh
