idPro,namaPro,idKab,namaKab,totalAlokasiKursi
32676,JAWA TENGAH,35181,MAGELANG,50
32676,JAWA TENGAH,35575,BOYOLALI,45
32676,JAWA TENGAH,35862,KLATEN,50
32676,JAWA TENGAH,36290,SUKOHARJO,45
32676,JAWA TENGAH,36470,WONOGIRI,50
32676,JAWA TENGAH,36790,KARANGANYAR,45
32676,JAWA TENGAH,36985,SRAGEN,45
32676,JAWA TENGAH,37214,GROBOGAN,50
32676,JAWA TENGAH,37514,BLORA,45
32676,JAWA TENGAH,37826,REMBANG,45
32676,JAWA TENGAH,38136,PATI,50
32676,JAWA TENGAH,38564,KUDUS,45
32676,JAWA TENGAH,38706,JEPARA,50
32676,JAWA TENGAH,38917,DEMAK,50
32676,JAWA TENGAH,39181,SEMARANG,50
32676,JAWA TENGAH,39436,TEMANGGUNG,45
32676,JAWA TENGAH,39746,KENDAL,45
32676,JAWA TENGAH,40053,BATANG,45
32676,JAWA TENGAH,40317,PEKALONGAN,45
32676,JAWA TENGAH,40622,PEMALANG,50
32676,JAWA TENGAH,40859,TEGAL,50
32676,JAWA TENGAH,41165,BREBES,50
32676,JAWA TENGAH,41480,KOTA MAGELANG,25
32676,JAWA TENGAH,41501,KOTA SURAKARTA,45
32676,JAWA TENGAH,41558,KOTA SALATIGA,25
32676,JAWA TENGAH,41585,KOTA SEMARANG,50
32676,JAWA TENGAH,41779,KOTA PEKALONGAN,35
32676,JAWA TENGAH,41831,KOTA TEGAL,30
41863,DAERAH ISTIMEWA YOGYAKARTA,41864,KULON PROGO,40
41863,DAERAH ISTIMEWA YOGYAKARTA,41965,BANTUL,45
41863,DAERAH ISTIMEWA YOGYAKARTA,42058,GUNUNGKIDUL,45
41863,DAERAH ISTIMEWA YOGYAKARTA,42221,SLEMAN,50
41863,DAERAH ISTIMEWA YOGYAKARTA,42325,KOTA YOGYAKARTA,40
42385,JAWA TIMUR,42386,PACITAN,45
42385,JAWA TIMUR,42570,PONOROGO,45
42385,JAWA TIMUR,42897,TRENGGALEK,45
42385,JAWA TIMUR,43069,TULUNGAGUNG,50
42385,JAWA TIMUR,43360,BLITAR,50
42385,JAWA TIMUR,43630,KEDIRI,50
42385,JAWA TIMUR,43993,MALANG,50
42385,JAWA TIMUR,44417,LUMAJANG,50
42385,JAWA TIMUR,44643,JEMBER,50
42385,JAWA TIMUR,44923,BANYUWANGI,50
42385,JAWA TIMUR,45165,BONDOWOSO,45
42385,JAWA TIMUR,45407,SITUBONDO,45
42385,JAWA TIMUR,45561,PROBOLINGGO,50
42385,JAWA TIMUR,45916,PASURUAN,50
42385,JAWA TIMUR,46306,SIDOARJO,50
42385,JAWA TIMUR,46678,MOJOKERTO,50
42385,JAWA TIMUR,47001,JOMBANG,50
42385,JAWA TIMUR,47329,NGANJUK,50
42385,JAWA TIMUR,47634,MADIUN,45
42385,JAWA TIMUR,47856,MAGETAN,45
