jenisPemilihan,dapil_id,nama_dapil,id_provinsi,nama_provinsi,kode_kabkota,nama_kabkota
DPRD Provinsi,143,LAMPUNG  2,22328,LAMPUNG,,
DPRD Provinsi,144,LAMPUNG  3,22328,LAMPUNG,,
DPRD Provinsi,145,LAMPUNG  4,22328,LAMPUNG,,
DPRD Provinsi,146,LAMPUNG  5,22328,LAMPUNG,,
DPRD Provinsi,147,LAMPUNG  6,22328,LAMPUNG,,
DPRD Provinsi,148,LAMPUNG  7,22328,LAMPUNG,,
DPRD Provinsi,149,LAMPUNG  8,22328,LAMPUNG,,
DPRD Provinsi,156,KEPULAUAN RIAU  1,25405,KEPULAUAN RIAU,,
DPRD Provinsi,157,KEPULAUAN RIAU  2,25405,KEPULAUAN RIAU,,
DPRD Provinsi,158,KEPULAUAN RIAU  3,25405,KEPULAUAN RIAU,,
DPRD Provinsi,159,KEPULAUAN RIAU  4,25405,KEPULAUAN RIAU,,
DPRD Provinsi,160,KEPULAUAN RIAU  5,25405,KEPULAUAN RIAU,,
DPRD Provinsi,161,KEPULAUAN RIAU  6,25405,KEPULAUAN RIAU,,
DPRD Provinsi,162,KEPULAUAN RIAU  7,25405,KEPULAUAN RIAU,,
DPRD Provinsi,173,JAWA BARAT  1,26141,JAWA BARAT,,
DPRD Provinsi,174,JAWA BARAT  2,26141,JAWA BARAT,,
DPRD Provinsi,175,JAWA BARAT  3,26141,JAWA BARAT,,
DPRD Provinsi,176,JAWA BARAT  4,26141,JAWA BARAT,,
DPRD Provinsi,177,JAWA BARAT  5,26141,JAWA BARAT,,
DPRD Provinsi,178,JAWA BARAT  6,26141,JAWA BARAT,,
DPRD Provinsi,179,JAWA BARAT  7,26141,JAWA BARAT,,
DPRD Provinsi,180,JAWA BARAT  8,26141,JAWA BARAT,,
DPRD Provinsi,181,JAWA BARAT  9,26141,JAWA BARAT,,
DPRD Provinsi,182,JAWA BARAT  10,26141,JAWA BARAT,,
DPRD Provinsi,183,JAWA BARAT  11,26141,JAWA BARAT,,
DPRD Provinsi,184,JAWA BARAT  12,26141,JAWA BARAT,,
DPRD Provinsi,185,JAWA BARAT  13,26141,JAWA BARAT,,
DPRD Provinsi,186,JAWA BARAT  14,26141,JAWA BARAT,,
DPRD Provinsi,187,JAWA BARAT  15,26141,JAWA BARAT,,
DPRD Provinsi,150,KEPULAUAN BANGKA BELITUNG  1,24993,KEPULAUAN BANGKA BELITUNG,,
DPRD Provinsi,151,KEPULAUAN BANGKA BELITUNG  2,24993,KEPULAUAN BANGKA BELITUNG,,
DPRD Provinsi,152,KEPULAUAN BANGKA BELITUNG  3,24993,KEPULAUAN BANGKA BELITUNG,,
DPRD Provinsi,153,KEPULAUAN BANGKA BELITUNG  4,24993,KEPULAUAN BANGKA BELITUNG,,
DPRD Provinsi,154,KEPULAUAN BANGKA BELITUNG  5,24993,KEPULAUAN BANGKA BELITUNG,,
DPRD Provinsi,155,KEPULAUAN BANGKA BELITUNG  6,24993,KEPULAUAN BANGKA BELITUNG,,
DPRD Provinsi,163,DKI JAKARTA  1,25823,DKI JAKARTA,,
DPRD Provinsi,164,DKI JAKARTA  2,25823,DKI JAKARTA,,
DPRD Provinsi,165,DKI JAKARTA  3,25823,DKI JAKARTA,,
DPRD Provinsi,166,DKI JAKARTA  4,25823,DKI JAKARTA,,
DPRD Provinsi,167,DKI JAKARTA  5,25823,DKI JAKARTA,,
DPRD Provinsi,168,DKI JAKARTA  6,25823,DKI JAKARTA,,
DPRD Provinsi,169,DKI JAKARTA  7,25823,DKI JAKARTA,,
DPRD Provinsi,170,DKI JAKARTA  8,25823,DKI JAKARTA,,
DPRD Provinsi,171,DKI JAKARTA  9,25823,DKI JAKARTA,,
DPRD Provinsi,172,DKI JAKARTA  10,25823,DKI JAKARTA,,
DPRD Provinsi,188,JAWA TENGAH  1,32676,JAWA TENGAH,,
DPRD Provinsi,189,JAWA TENGAH  2,32676,JAWA TENGAH,,
DPRD Provinsi,190,JAWA TENGAH  3,32676,JAWA TENGAH,,
DPRD Provinsi,191,JAWA TENGAH  4,32676,JAWA TENGAH,,
