dapil_id,nama_dapil,kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
3400,TAPANULI UTARA 2,7438,TAPANULI UTARA,6728,SUMATERA UTARA
3401,TAPANULI UTARA 3,7438,TAPANULI UTARA,6728,SUMATERA UTARA
3402,TAPANULI UTARA 4,7438,TAPANULI UTARA,6728,SUMATERA UTARA
3403,TAPANULI UTARA 5,7438,TAPANULI UTARA,6728,SUMATERA UTARA
3360,TAPANULI SELATAN 1,7697,TAPANULI SELATAN,6728,SUMATERA UTARA
3361,TAPANULI SELATAN 2,7697,TAPANULI SELATAN,6728,SUMATERA UTARA
3362,TAPANULI SELATAN 3,7697,TAPANULI SELATAN,6728,SUMATERA UTARA
3363,TAPANULI SELATAN 4,7697,TAPANULI SELATAN,6728,SUMATERA UTARA
3364,TAPANULI SELATAN 5,7697,TAPANULI SELATAN,6728,SUMATERA UTARA
3287,NIAS 1,7960,NIAS,6728,SUMATERA UTARA
3288,NIAS 2,7960,NIAS,6728,SUMATERA UTARA
3289,NIAS 3,7960,NIAS,6728,SUMATERA UTARA
5668,LANGKAT 1,8094,LANGKAT,6728,SUMATERA UTARA
5669,LANGKAT 2,8094,LANGKAT,6728,SUMATERA UTARA
5670,LANGKAT 3,8094,LANGKAT,6728,SUMATERA UTARA
5671,LANGKAT 4,8094,LANGKAT,6728,SUMATERA UTARA
5672,LANGKAT 5,8094,LANGKAT,6728,SUMATERA UTARA
5663,KARO 1,8408,KARO,6728,SUMATERA UTARA
5664,KARO 2,8408,KARO,6728,SUMATERA UTARA
5665,KARO 3,8408,KARO,6728,SUMATERA UTARA
5666,KARO 4,8408,KARO,6728,SUMATERA UTARA
5667,KARO 5,8408,KARO,6728,SUMATERA UTARA
5657,DELI SERDANG 1,8688,DELI SERDANG,6728,SUMATERA UTARA
5658,DELI SERDANG 2,8688,DELI SERDANG,6728,SUMATERA UTARA
5659,DELI SERDANG 3,8688,DELI SERDANG,6728,SUMATERA UTARA
5660,DELI SERDANG 4,8688,DELI SERDANG,6728,SUMATERA UTARA
5661,DELI SERDANG 5,8688,DELI SERDANG,6728,SUMATERA UTARA
5662,DELI SERDANG 6,8688,DELI SERDANG,6728,SUMATERA UTARA
5651,SIMALUNGUN 1,9114,SIMALUNGUN,6728,SUMATERA UTARA
5652,SIMALUNGUN 2,9114,SIMALUNGUN,6728,SUMATERA UTARA
5653,SIMALUNGUN 3,9114,SIMALUNGUN,6728,SUMATERA UTARA
